ID,NAME,ADDRESS,CATEGORY,SUBCATEGORY,LATITUD,LONGITUD,WKT
0,"Olaya HerrerA Business Center, local 331",Carrera 52 # 14 - 30 ,work,TCS office,6.2187783,-75.5801786,POINT (-75.5801786 6.2187783)
1,Aeropuerto Olaya Herrera,Carrera 65 #13-157,airport,national airport,6.2190583,-75.5868332,POINT (-75.5868332 6.2190583)
2,Éxito Wow Poblado,Calle 10 #43E-135,supermarkets,exito,6.2116634,75.5749167,POINT (-75.5749167 6.2116634)
3,Éxito Express Ciudad del Rio,Carrera . 44 #19 - 36,supermarkets,extio,6.2222814,-75.574554,POINT (-75.574554 6.2222814)
4,Éxito Express Punto Clave,"Calle 29 ## 46 - 93,",supermarkets,extio,6.230295,-75.5739329,POINT (-75.5739329 6.230295)
5,Éxito Gran Vía,"Dg. 75B # 6 - 105,",supermarkets,extio,6.2174839,-75.5988623,POINT (-75.5988623 6.2174839)
6,Éxito Vecino Belén,Carrera . 77 #28-124,supermarkets,extio,6.2300943,-75.5967767,POINT (-75.5967767 6.2300943)
7,Carulla Poblado,Av. El Poblado # 10-112,supermarkets,carulla,6.2114282,-75.5700187,POINT (-75.5700187 6.2114282)
8,Carulla 24 Horas Oviedo,Av. El Poblado #62,supermarkets,carulla,6.1974697,-75.5749819,POINT (-75.5749819 6.1974697)
9,Carulla La Visitación,Carrera. 32a # 2 SUR - 55,supermarkets,carulla,6.1985401,"-75.565823,2",POINT (-75.565823 6.1985401)
10,Farmatodo Ciudad del Río,Carrera 48 #19A-18 Torre Medica,pharmacy,farmatodo,6.2230909,-75.5750899,POINT (-75.5750899 6.2230909)
11,Farmatodo  24 Horas,Calle. 5 Sur #42-51,pharmacy,farmatodo,6.1991814,-75.5731882,POINT (-75.5731882 6.1991814)
12,Droguería Alemana el poblado medellin,Calle. 1 Sur #25-44,pharmacy,drogueria alemana,6.2040334,-75.5741477,POINT (-75.5741477 6.2040334)
13,Droguería Alemana poblado lleras 24 horas Domicilios,"Parque Lleras, Calle 10 #38-02,",pharmacy,drogueria alemana,6.2097004,-75.5678229,POINT (-75.5678229 6.2097004)
14,Droguería Alemana # 275,"Carrera . 43 #33 - 57 LOCAL 118,",pharmacy,drogueria alemana,6.233689,-75.5692076,POINT (-75.5692076 6.233689)
15,Centro Comercial Monterrey,Carrera . 48 #10-45,Shopping Center,Shopping Center Monterrey,6.2142522,-75.5767861,POINT (-75.5589308 6.2142522)
16,El Tesoro Parque Comercial,"Carrera . 25a #1a Sur 45, Medellín, Antioquia",Shopping Center,Shopping Center El Tesoro Parque Comercial,6.1974358,-75.5589308,POINT (-75.5767861 6.1974358)
17,Centro Comercial Santafé,"Carrera 43A, Cl. 7 Sur #170",Shopping Center,Shopping Center Santafé,6.1964843,-75.5738303,POINT (-75.5738303 6.1964843)
18,Centro Comercial Premium Plaza,"Calle 30, Cra. 43A",Shopping Center,Shopping Center Premium Plaza,6.2288548,-75.570843,POINT (-75.570843 6.2288548)
19,Centro Comercial Unicentro Medellín,"Carrera . 66B #34A-76, Medellín, Antioquia",Shopping Center,Shopping Center Unicentro Medellín,6.2408264,-75.5872974,POINT (-75.5872974 6.2408264)
